sample,source_type,mx_message_id,xml_path,sample_value,dfr_join_status,dfr_source_message_id,target_table,target_column,role
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Cdtr/Nm,ACME TRADING LTD,MATCHED,pacs.008.001.14,dim_party,party_name,creditor
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Cdtr/PstlAdr/AdrLine,1 CORPORATE AVENUE,MATCHED,pacs.008.001.14,dim_party,party_address_line,creditor
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/CdtrAcct/Id/Othr/Id,GB29NWBK60161331926819,MATCHED,pacs.008.001.14,fact_payment_account,account_id,creditor_account
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/BICFI,CHASUS33,MATCHED,pacs.008.001.14,dim_agent,agent_bicfi,creditor_agent
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/ChrgBr,SHAR,MATCHED,pacs.008.001.14,fact_payment,charge_bearer,
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Dbtr/Nm,JOHN DOE,MATCHED,pacs.008.001.14,dim_party,party_name,debtor
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Dbtr/PstlAdr/AdrLine,123 MAIN STREET,MATCHED,pacs.008.001.14,dim_party,party_address_line,debtor
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAcct/Id/IBAN,DE89370400440532013000,MATCHED,pacs.008.001.14,fact_payment_account,account_id,debtor_account
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId/BICFI,DEUTDEFF,MATCHED,pacs.008.001.14,dim_agent,agent_bicfi,debtor_agent
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmAmt,2500.00,MATCHED,pacs.008.001.14,fact_payment,interbank_settlement_amount,
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmAmt/@Ccy,EUR,MATCHED,pacs.008.001.14,fact_payment,interbank_settlement_currency,
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmDt,2026-07-12,MATCHED,pacs.008.001.14,fact_payment,interbank_settlement_date,
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/EndToEndId,TRX98765,MATCHED,pacs.008.001.14,fact_payment,end_to_end_id,
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/InstrId,TRX98765,MATCHED,pacs.008.001.14,fact_payment,instruction_id,
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/RmtInf/Ustrd,INVOICE 998877,MATCHED,pacs.008.001.14,fact_remittance,remittance_unstructured,
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/CreDtTm,2026-07-12T00:00:00,MATCHED,pacs.008.001.14,fact_payment,message_creation_datetime,
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/CtrlSum,2500.00,MATCHED,pacs.008.001.14,fact_payment,control_sum,
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/InstdAgt/FinInstnId/BICFI,BANKDEFFXXX,MATCHED,pacs.008.001.14,dim_agent,agent_bicfi,instructed_agent
mt103_basic,MT103,pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/InstgAgt/FinInstnId/BICFI,BANKBEBBAXX,MATCHED,pacs.008.001.14,dim_agent,agent_bicfi,instructing_agent
