mt_message,mt_occurrence_no,mt_tag,mt_option,mx_message_id,mx_path,mapping_action,transformation,evidence_grade,evidence_source_ids,corroboration,validation_status,review_reason,mt_field_name,mt_requiredness,mt_sequence,mt_source_pdf_page
MT103,1,20,ANY,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/InstrId,DIRECT_CANDIDATE,Copy sender reference; length/character validation required.,B,SR_2025_MT103|MX_pacs_008_001_08,Apache-2.0 pacs008-loader-mt103 and MIT Mixar agree on InstrId.,REVIEW_REQUIRED_CBPR,Base-standard semantic candidate only; validate against the applicable CBPR+ Usage Guideline and SWIFT Translation Library before implementation.,Sender's Reference,M,,14
MT103,2,13C,ANY,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/SttlmTmReq/CLSTm,CONDITIONAL_CANDIDATE,Select target by 13C code; convert HHMM plus offset to ISO time under agreed timezone policy.,C,SR_2025_MT103|MX_pacs_008_001_08,,REVIEW_REQUIRED_CBPR,Base-standard semantic candidate only; validate against the applicable CBPR+ Usage Guideline and SWIFT Translation Library before implementation.,Time Indication,O,,14
MT103,2,13C,ANY,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/SttlmTmReq/TillTm,CONDITIONAL_CANDIDATE,Select target by 13C code; convert HHMM plus offset to ISO time under agreed timezone policy.,C,SR_2025_MT103|MX_pacs_008_001_08,,REVIEW_REQUIRED_CBPR,Base-standard semantic candidate only; validate against the applicable CBPR+ Usage Guideline and SWIFT Translation Library before implementation.,Time Indication,O,,14
MT103,2,13C,ANY,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/SttlmTmReq/FrTm,CONDITIONAL_CANDIDATE,Select target by 13C code; convert HHMM plus offset to ISO time under agreed timezone policy.,C,SR_2025_MT103|MX_pacs_008_001_08,,REVIEW_REQUIRED_CBPR,Base-standard semantic candidate only; validate against the applicable CBPR+ Usage Guideline and SWIFT Translation Library before implementation.,Time Indication,O,,14
MT103,2,13C,ANY,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/SttlmTmReq/RjctTm,CONDITIONAL_CANDIDATE,Select target by 13C code; convert HHMM plus offset to ISO time under agreed timezone policy.,C,SR_2025_MT103|MX_pacs_008_001_08,,REVIEW_REQUIRED_CBPR,Base-standard semantic candidate only; validate against the applicable CBPR+ Usage Guideline and SWIFT Translation Library before implementation.,Time Indication,O,,14
MT103,3,23B,ANY,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtTpInf/LclInstrm/Prtry,CONDITIONAL_CANDIDATE,Translate bank-operation code only where the usage guideline permits proprietary local instrument.,C,SR_2025_MT103|MX_pacs_008_001_08,Open-source converter uses LclInstrm/Prtry; not authoritative.,REVIEW_REQUIRED_CBPR,Base-standard semantic candidate only; validate against the applicable CBPR+ Usage Guideline and SWIFT Translation Library before implementation.,Bank Operation Code,M,,15
MT103,4,23E,ANY,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstrForCdtrAgt/Cd,CONDITIONAL_CANDIDATE,Translate each 23E code and narrative using the official code-specific rule; one MT occurrence may fan out.,D,SR_2025_MT103|MX_pacs_008_001_08,,REVIEW_REQUIRED_CBPR,Base-standard semantic candidate only; validate against the applicable CBPR+ Usage Guideline and SWIFT Translation Library before implementation.,Instruction Code,O,,16
MT103,4,23E,ANY,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstrForCdtrAgt/InstrInf,CONDITIONAL_CANDIDATE,Translate each 23E code and narrative using the official code-specific rule; one MT occurrence may fan out.,D,SR_2025_MT103|MX_pacs_008_001_08,,REVIEW_REQUIRED_CBPR,Base-standard semantic candidate only; validate against the applicable CBPR+ Usage Guideline and SWIFT Translation Library before implementation.,Instruction Code,O,,16
MT103,4,23E,ANY,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstrForNxtAgt/Cd,CONDITIONAL_CANDIDATE,Translate each 23E code and narrative using the official code-specific rule; one MT occurrence may fan out.,D,SR_2025_MT103|MX_pacs_008_001_08,,REVIEW_REQUIRED_CBPR,Base-standard semantic candidate only; validate against the applicable CBPR+ Usage Guideline and SWIFT Translation Library before implementation.,Instruction Code,O,,16
MT103,4,23E,ANY,pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstrForNxtAgt/InstrInf,CONDITIONAL_CANDIDATE,Translate each 23E code and narrative using the official code-specific rule; one MT occurrence may fan out.,D,SR_2025_MT103|MX_pacs_008_001_08,,REVIEW_REQUIRED_CBPR,Base-standard semantic candidate only; validate against the applicable CBPR+ Usage Guideline and SWIFT Translation Library before implementation.,Instruction Code,O,,16
