mx_message_id,path,parent_path,xml_tag,type,min_occurs,max_occurs,is_attribute,choice_group
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/InstrId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId,InstrId,Max35Text,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/SttlmTmReq/CLSTm,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/SttlmTmReq,CLSTm,ISOTime,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/SttlmTmReq/TillTm,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/SttlmTmReq,TillTm,ISOTime,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/SttlmTmReq/FrTm,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/SttlmTmReq,FrTm,ISOTime,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/SttlmTmReq/RjctTm,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/SttlmTmReq,RjctTm,ISOTime,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtTpInf/LclInstrm/Prtry,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtTpInf/LclInstrm,Prtry,Max35Text,0,unbounded,False,choice-42
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstrForCdtrAgt/Cd,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstrForCdtrAgt,Cd,Instruction3Code,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstrForCdtrAgt/InstrInf,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstrForCdtrAgt,InstrInf,Max140Text,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstrForNxtAgt/Cd,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstrForNxtAgt,Cd,Instruction4Code,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstrForNxtAgt/InstrInf,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstrForNxtAgt,InstrInf,Max140Text,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Purp/Prtry,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Purp,Prtry,Max35Text,0,unbounded,False,choice-148
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmDt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf,IntrBkSttlmDt,ISODate,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmAmt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf,IntrBkSttlmAmt,ActiveCurrencyAndAmount,1,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmAmt/@Ccy,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmAmt,@Ccy,ActiveCurrencyCode,1,1,True,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstdAmt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf,InstdAmt,ActiveOrHistoricCurrencyAndAmount,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstdAmt/@Ccy,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstdAmt,@Ccy,ActiveOrHistoricCurrencyCode,1,1,True,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/XchgRate,Document/FIToFICstmrCdtTrf/CdtTrfTxInf,XchgRate,BaseOneRate,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Dbtr/Nm,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Dbtr,Nm,Max140Text,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Dbtr/PstlAdr/AdrLine,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Dbtr/PstlAdr,AdrLine,Max70Text,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Dbtr/Id/OrgId/AnyBIC,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Dbtr/Id/OrgId,AnyBIC,AnyBICDec2014Identifier,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAcct/Id/IBAN,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAcct/Id,IBAN,IBAN2007Identifier,0,unbounded,False,choice-116
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAcct/Id/Othr/Id,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAcct/Id/Othr,Id,Max34Text,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId/BICFI,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId,BICFI,BICFIDec2014Identifier,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId/ClrSysMmbId/MmbId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId/ClrSysMmbId,MmbId,Max35Text,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId/Nm,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId,Nm,Max140Text,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId/PstlAdr/AdrLine,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId/PstlAdr,AdrLine,Max70Text,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgtAcct/Id/IBAN,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgtAcct/Id,IBAN,IBAN2007Identifier,0,unbounded,False,choice-124
pacs.008.001.08,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgtAcct/Id/Othr/Id,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgtAcct/Id/Othr,Id,Max34Text,0,unbounded,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/BICFI,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId,BICFI,BICFIDec2014Identifier,0,1,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/ClrSysMmbId/MmbId,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/ClrSysMmbId,MmbId,Max35Text,0,1,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/Nm,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId,Nm,Max140Text,0,1,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr/AdrLine,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr,AdrLine,Max70Text,0,7,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgtAcct/Id/IBAN,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgtAcct/Id,IBAN,IBAN2007Identifier,0,1,False,choice-10
pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgtAcct/Id/Othr/Id,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgtAcct/Id/Othr,Id,Max34Text,0,1,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstdRmbrsmntAgt/FinInstnId/BICFI,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstdRmbrsmntAgt/FinInstnId,BICFI,BICFIDec2014Identifier,0,1,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstdRmbrsmntAgt/FinInstnId/ClrSysMmbId/MmbId,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstdRmbrsmntAgt/FinInstnId/ClrSysMmbId,MmbId,Max35Text,0,1,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstdRmbrsmntAgt/FinInstnId/Nm,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstdRmbrsmntAgt/FinInstnId,Nm,Max140Text,0,1,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstdRmbrsmntAgt/FinInstnId/PstlAdr/AdrLine,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstdRmbrsmntAgt/FinInstnId/PstlAdr,AdrLine,Max70Text,0,7,False,
pacs.008.001.08,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstdRmbrsmntAgtAcct/Id/IBAN,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/InstdRmbrsmntAgtAcct/Id,IBAN,IBAN2007Identifier,0,1,False,choice-18
