mt_message,mt_occurrence_no,mt_tag,mt_field_name,requiredness,sequence,source_pdf_page,rule_count,target_path_count,worst_evidence_grade,mapping_actions,dfr_statuses,review_status
MT103,1,20,Sender's Reference,M,,14,1,1,B,DIRECT_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,2,13C,Time Indication,O,,14,4,4,C,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,3,23B,Bank Operation Code,M,,15,1,1,C,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,4,23E,Instruction Code,O,,16,4,4,D,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,5,26T,Transaction Type Code,O,,18,1,1,D,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,6,32A,Value Date/Currency/Interbank Settled Amount,M,,18,3,3,B,TRANSFORM,MATCHED,REVIEW_REQUIRED_CBPR
MT103,7,33B,Currency/Instructed Amount,O,,19,2,2,B,TRANSFORM,MATCHED,REVIEW_REQUIRED_CBPR
MT103,8,36,Exchange Rate,O,,20,1,1,B,TRANSFORM,MATCHED,REVIEW_REQUIRED_CBPR
MT103,9,50a,Ordering Customer,M,,20,5,5,B,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,10,51A,Sending Institution,O,,24,1,0,D,NO_DIRECT_EQUIVALENT,NOT_APPLICABLE,DOCUMENTED_GAP
MT103,11,52a,Ordering Institution,O,,24,6,6,B,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,12,53a,Sender's Correspondent,O,,26,6,6,B,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,13,54a,Receiver's Correspondent,O,,27,6,6,B,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,14,55a,Third Reimbursement Institution,O,,28,6,6,B,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,15,56a,Intermediary Institution,O,,29,6,6,B,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,16,57a,Account With Institution,O,,31,6,6,B,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,17,59a,Beneficiary Customer,M,,34,5,5,B,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT103,18,70,Remittance Information,O,,36,1,1,B,TRANSFORM,MATCHED,REVIEW_REQUIRED_CBPR
MT103,19,71A,Details of Charges,M,,37,1,1,B,TRANSFORM,MATCHED,REVIEW_REQUIRED_CBPR
MT103,20,71F,Sender's Charges,O,,37,2,2,B,TRANSFORM,MATCHED,REVIEW_REQUIRED_CBPR
MT103,21,71G,Receiver's Charges,O,,38,2,2,B,TRANSFORM,MATCHED,REVIEW_REQUIRED_CBPR
