source_id,source_kind,authority,title,publication_or_version,scope,filename,pages_or_rows,bytes,sha256,location_or_url,distribution,extraction_status,usage_status,review_status,notes
SR_2025_MT103,PDF,SWIFT,Standards MT November 2025 — MT 103 Single Customer Credit Transfer,MT November 2025,MT103,SR_2025_MT103.pdf,80,461752,819b4d80d9238681a251a64039bf4cb8c04806f3d602bff8d4281e3f735e7631,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,PRIMARY,REGISTERED,Source PDF is included; extracted full text remains private.
SR_2025_MT202,PDF,SWIFT,Standards MT November 2025 — MT 202 General Financial Institution Transfer,MT November 2025,MT202,SR_2025_MT202.pdf,23,130555,e5ac050a0461f9e3b34979c8a4e17dd91ddc8c0f153cf68fa1c4c6acca551679,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,PRIMARY,REGISTERED,Source PDF is included; extracted full text remains private.
SR_2025_MT202_COV,PDF,SWIFT,Standards MT November 2025 — MT 202 COV General Financial Institution Transfer,MT November 2025,MT202_COV,SR_2025_MT202.COV.pdf,36,203438,8aef5e2c73a8c1980a8890d746649dc416d3e23b56ebae2f3b68f9ac938ebd09,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,PRIMARY,REGISTERED,Source PDF is included; extracted full text remains private.
SR_2025_MT910,PDF,SWIFT,Standards MT November 2025 — MT 910 Confirmation of Credit,MT November 2025,MT910,SR_2025_MT910.pdf,16,118489,7e4db3590d212a6ab9ac8a82332838431af26ee774f95b95784c3b287dfc3532,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,PRIMARY,REGISTERED,Source PDF is included; extracted full text remains private.
SR_2025_MT920,PDF,SWIFT,Standards MT November 2025 — MT 920 Request Message,MT November 2025,MT920,SR_2025_MT920.pdf,9,81541,502aff3e8e1ef9fe16e15cc218d659ff9b82be3a9d0dbde9dc185547149a57eb,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,PRIMARY,REGISTERED,Source PDF is included; extracted full text remains private.
MX_pacs_008_001_08,PDF,ISO 20022 / MyStandards export,pacs.008.001.08 FIToFICustomerCreditTransferV08 Message Definition Report,pacs.008.001.08,pacs.008.001.08,MX_pacs_008_001_08.pdf,173,1215715,450eae7625d7cacdd58d27d2a8a0ef81adbc4b2638e59682b978def2f0e31237,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,PRIMARY,REGISTERED,Source PDF is included; extracted full text remains private.
MX_pacs_009_001_08,PDF,ISO 20022 / MyStandards export,pacs.009.001.08 FinancialInstitutionCreditTransferV08 Message Definition Report,pacs.009.001.08,pacs.009.001.08,MX_pacs_009_001_08.pdf,175,1238460,fff44ebfb33a78f1c5c753c6520e6fae050373c6a8e83d5b1d3e9843eccc267a,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,PRIMARY,REGISTERED,Source PDF is included; extracted full text remains private.
MX_camt_054_001_08,PDF,ISO 20022 / MyStandards export,camt.054.001.08 BankToCustomerDebitCreditNotificationV08 Message Definition Report,camt.054.001.08,camt.054.001.08,MX_camt_054_001_08.pdf,313,2423051,ac20c27deafcc68b3ebb779137a29e9e9b7116238b0dd5363b0a570a95ef2ba5,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,PRIMARY,REGISTERED,Source PDF is included; extracted full text remains private.
MX_camt_060_001_05,PDF,ISO 20022 / MyStandards export,camt.060.001.05 AccountReportingRequestV05 Message Definition Report,camt.060.001.05,camt.060.001.05,MX_camt_060_001_05.pdf,65,461659,716e888904d8e1b34037ac2b89d53334ff7651440c7d4a306b00fc5844cd6dcc,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,PRIMARY,REGISTERED,Source PDF is included; extracted full text remains private.
PMPG_COVER_GUIDANCE,PDF,SWIFT PMPG,Structured ordering and beneficiary customer data in payments,April 2023,MT202_COV,swift_pmpg_guidelines_cov-1.pdf,23,1059367,ffdcc207490318e5c84b80e554784a1e033dd905b06fca0ba37529df4c398a2b,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,SUPPORTING,REGISTERED,Source PDF is included; extracted full text remains private.
